"Model","Dataset","ROC_AUC","Best_Threshold_Val","Recall","Precision","F1","F2"
"rpart","train",1,0.05,1,1,1,1
"rpart","val",1,0.05,1,1,1,1
"rpart","test",1,0.05,1,1,1,1
"knn","train",0.8171,0.5,0.8808,0.4816,0.6227,0.7556
"knn","val",0.7265,0.5,0.8108,0.4367,0.5677,0.6922
"knn","test",0.7257,0.5,0.8098,0.4407,0.5708,0.6936
"rf","train",1,0.35,1,1,1,1
"rf","val",1,0.35,1,1,1,1
"rf","test",1,0.35,1,1,1,1
"nb","train",0.947,0.75,0.7917,0.8432,0.8167,0.8015
"nb","val",0.9429,0.75,0.784,0.8358,0.8091,0.7938
"nb","test",0.9464,0.75,0.7803,0.8521,0.8146,0.7937
"xgboost","train",1,0.05,1,0.998,0.999,0.9996
"xgboost","val",1,0.05,1,0.9981,0.9991,0.9996
"xgboost","test",1,0.05,1,0.9981,0.9991,0.9996
"glmnet","train",0.8967,0.3,0.8986,0.6293,0.7402,0.8277
"glmnet","val",0.8935,0.3,0.8948,0.6269,0.7373,0.8243
"glmnet","test",0.8974,0.3,0.8982,0.6252,0.7373,0.8261
