"Model","Dataset","ROC_AUC","Best_Threshold_Val","Recall","Precision","F1","F2"
"rpart","train",0.5217,0.05,1,0.3214,0.4864,0.7031
"rpart","val",0.4874,0.05,1,0.3213,0.4863,0.703
"rpart","test",0.5107,0.05,1,0.3213,0.4864,0.703
"knn","train",0.6393,0.05,0.9989,0.3241,0.4894,0.7052
"knn","val",0.4899,0.05,0.9904,0.3211,0.4849,0.6989
"knn","test",0.496,0.05,0.986,0.3208,0.4841,0.697
"rf","train",0.5987,0.05,1,0.3214,0.4864,0.7031
"rf","val",0.4967,0.05,1,0.3213,0.4863,0.703
"rf","test",0.5004,0.05,1,0.3213,0.4864,0.703
"nb","train",0.5092,0.05,1,0.3214,0.4864,0.7031
"nb","val",0.4934,0.05,1,0.3213,0.4863,0.703
"nb","test",0.4984,0.05,1,0.3213,0.4864,0.703
"xgboost","train",0.6051,0.05,1,0.3214,0.4864,0.7031
"xgboost","val",0.485,0.05,1,0.3213,0.4863,0.703
"xgboost","test",0.5116,0.05,1,0.3213,0.4864,0.703
"glmnet","train",0.5147,0.3,0.9992,0.3213,0.4863,0.7027
"glmnet","val",0.4898,0.3,0.9991,0.3215,0.4864,0.7028
"glmnet","test",0.5095,0.3,0.9988,0.3212,0.4861,0.7024
